Name,Race_Location,Starting_Position,Finishing_Position,Status
perez,Hungarian Grand Prix,13,19,no,
perez,Belgian Grand Prix,4,5,yes,
perez,Italian Grand Prix,7,6,yes,
perez,Singapore Grand Prix,13,7,yes,
perez,Japanese Grand Prix,9,12,yes,
perez,Russian Grand Prix,7,3,yes,
perez,United States Grand Prix,5,5,yes,
perez,Mexican Grand Prix,9,8,yes,
perez,Brazilian Grand Prix,11,12,yes,
perez,Abu Dhabi Grand Prix,4,5,yes,
raikkonen,Australian Grand Prix,5,12,no,
raikkonen,Malaysian Grand Prix,11,4,yes,
raikkonen,Chinese Grand Prix,6,4,yes,
raikkonen,Bahrain Grand Prix,4,2,yes,
raikkonen,Spanish Grand Prix,7,5,yes,
raikkonen,Monaco Grand Prix,6,6,yes,
raikkonen,Canadian Grand Prix,3,4,yes,
raikkonen,Austrian Grand Prix,14,19,no,
raikkonen,British Grand Prix,5,8,yes,
raikkonen,Hungarian Grand Prix,5,18,no,
raikkonen,Belgian Grand Prix,16,7,yes,
raikkonen,Italian Grand Prix,2,5,yes,
raikkonen,Singapore Grand Prix,3,3,yes,
raikkonen,Japanese Grand Prix,6,4,yes,
raikkonen,Russian Grand Prix,5,8,yes,
raikkonen,United States Grand Prix,18,16,no,
raikkonen,Mexican Grand Prix,19,19,no,
raikkonen,Brazilian Grand Prix,4,4,yes,
raikkonen,Abu Dhabi Grand Prix,3,3,yes,
ricciardo,Australian Grand Prix,6,6,yes,
ricciardo,Malaysian Grand Prix,4,10,yes,
ricciardo,Chinese Grand Prix,7,9,yes,
ricciardo,Bahrain Grand Prix,7,6,yes,
ricciardo,Spanish Grand Prix,10,7,yes,
ricciardo,Monaco Grand Prix,4,5,yes,
ricciardo,Canadian Grand Prix,9,13,yes,
ricciardo,Austrian Grand Prix,18,10,yes,
ricciardo,British Grand Prix,10,15,no,
ricciardo,Hungarian Grand Prix,4,3,yes,
ricciardo,Belgian Grand Prix,5,18,no,
ricciardo,Italian Grand Prix,19,8,yes,
ricciardo,Singapore Grand Prix,2,2,yes,
ricciardo,Japanese Grand Prix,7,15,yes,
